"","waning_day","seasonal_R0","seasonal_reported_1","seasonal_reported_2","seasonal_reported_3","seasonal_reported_5","seasonal_amplitude","phi"
"waning_day",8673.69348795267,27.0716811095769,1.2731245650783,1.07031751582359,2.53699105990688,1.38969442350619,0.302369493431594,406.555101832757
"seasonal_R0",27.0716811095769,0.102409138361916,0.00184174013881908,0.00148918787548192,0.00479022896527348,0.0012381069143219,-0.0013299896239106,2.35040520255695
"seasonal_reported_1",1.2731245650783,0.00184174013881908,0.000821686496207765,0.000606283200699874,0.000995211715034737,0.000591968131873305,0.000306482032317139,-0.0663138374827459
"seasonal_reported_2",1.07031751582359,0.00148918787548192,0.000606283200699874,0.00101323752687236,0.000711188912763911,0.000322507904747791,0.000240563693109299,-0.0627454954233954
"seasonal_reported_3",2.53699105990688,0.00479022896527348,0.000995211715034737,0.000711188912763911,0.0017979138454103,0.00140197641410033,0.000522812413310346,-0.0642280453365981
"seasonal_reported_5",1.38969442350619,0.0012381069143219,0.000591968131873305,0.000322507904747791,0.00140197641410033,0.00183583951128454,0.000525715560770736,-0.108177000876419
"seasonal_amplitude",0.302369493431594,-0.0013299896239106,0.000306482032317139,0.000240563693109299,0.000522812413310346,0.000525715560770736,0.000386827119734123,-0.133982920803896
"phi",406.555101832757,2.35040520255695,-0.0663138374827459,-0.0627454954233954,-0.0642280453365981,-0.108177000876419,-0.133982920803896,87.7919170110518
